"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"SMAD3",7.1241579926849,7.75461610816611,7.30327565333943,7.99154833993411,7.81995958103609,7.49265593580629,8.43524462762384,8.57676078289121
"MCL1",4.91295371507176,6.23355429597077,5.92052872966929,6.9996320628076,6.21847721783341,6.30285122280362,7.42762270282635,7.02011771312524
"KITLG",3.76310348219835,4.32282265469701,3.66835051713617,4.99265393162527,3.88502883279343,4.11247916318304,5.40176533542705,5.66725141401664
"MMP13",6.26343225854009,5.95013551427173,6.71743098663446,6.09345453352427,6.55263643184611,6.30670143540773,7.14093477829494,7.26963021542177
"MYC",8.33689031636432,9.7791635657914,8.6034882243663,9.05674689581563,9.25993845853437,9.29424798859059,9.48285888816976,9.58036173228669
"NFIB",6.4098269626043,6.03230762757075,6.42817300910197,6.14162114986994,6.47254149096291,6.64017998281496,6.92774652402432,7.20951764455501
"NFKB1",7.3067259472323,6.93476814115269,7.32531978708544,7.20864724049504,7.75744744771139,7.92544223281727,7.80337029224577,7.78094550632758
"NFKBIA",9.15916122077555,8.95866890362385,9.13843807852307,7.68754198224943,11.9209970402846,11.661794022342,11.6006681563942,11.5416846089851
"NNMT",6.30504996718815,5.4623129370045,6.49463324204269,5.73023835130646,6.64656457140887,6.42941448600122,6.18306535535361,6.32739853290248
"OXTR",6.10739608892326,7.07265983506865,6.14477349001039,6.66752378231259,6.71238049229572,6.58597566039182,7.09047088514196,7.19988856085135
"G0S2",7.8856967860817,8.33252831401468,7.94434089813526,8.9350329496258,8.98707901374083,8.79465032704137,9.48336552875347,9.53216159108086
"ASAP1",7.81258011092235,8.08008605558133,8.1517144033163,8.88454442273783,8.11092967283542,8.04702305483726,9.30615954694812,9.33066541446567
"TUBD1",6.41328913944332,6.91879940638142,6.60679790073889,6.34161683257988,6.78362243226054,6.65560517965553,7.27815418784952,7.52063619011791
"IER5",5.54918764108407,5.21213853218612,5.91611641147781,5.08953413126971,6.64187891071618,6.39992201269423,6.2672168093926,6.4416545825817
